UTC Time,Latitude,Longitude,Altitude
2023-09-12T23:22:43.633,50.7527647,6.0723781,0.647
2023-09-12T23:22:44.635,50.7527679,6.0723783,0.57
2023-09-12T23:22:45.637,50.7527685,6.0723747,0.449
2023-09-12T23:22:46.639,50.7527742,6.0723739,0.737
2023-09-12T23:22:47.642,50.7527793,6.0723749,0.641
2023-09-12T23:22:48.643,50.7527805,6.0723759,0.745
2023-09-12T23:22:49.645,50.7527793,6.0723796,0.545
2023-09-12T23:22:50.647,50.7527802,6.0723794,0.471
2023-09-12T23:22:51.650,50.7527742,6.0723793,0.878
2023-09-12T23:22:52.652,50.7527729,6.0723838,0.638
2023-09-12T23:22:53.653,50.7527692,6.0723827,0.729
2023-09-12T23:22:54.656,50.7527734,6.0723803,0.717
2023-09-12T23:22:55.659,50.752774,6.0723802,0.562
2023-09-12T23:22:56.661,50.7527783,6.0723733,0.799
2023-09-12T23:22:57.663,50.7527851,6.0723666,0.731
2023-09-12T23:22:58.666,50.7527872,6.0723668,0.669
2023-09-12T23:22:59.668,50.7527828,6.0723733,0.686
2023-09-12T23:23:00.671,50.7527817,6.0723789,0.898
2023-09-12T23:23:01.673,50.7527824,6.0723811,0.921
2023-09-12T23:23:02.676,50.7527722,6.0723845,0.675
2023-09-12T23:23:03.678,50.752761,6.0723806,0.878
2023-09-12T23:23:04.679,50.7527582,6.0723807,0.805
2023-09-12T23:23:05.681,50.7527552,6.0723789,0.878
2023-09-12T23:23:06.682,50.7527572,6.0723813,0.556
2023-09-12T23:23:07.685,50.7527594,6.072384,0.884
2023-09-12T23:23:08.689,50.7527577,6.0723878,0.74
2023-09-12T23:23:09.691,50.7527626,6.0723864,0.729
2023-09-12T23:23:10.695,50.7527568,6.0723891,0.926
2023-09-12T23:23:11.698,50.7527624,6.072392,0.827
2023-09-12T23:23:12.701,50.7527643,6.0723913,0.994
2023-09-12T23:23:13.703,50.7527703,6.0723968,0.867
2023-09-12T23:23:14.707,50.75277,6.0723986,0.873
2023-09-12T23:23:15.709,50.7527673,6.0723986,1.028
2023-09-12T23:23:16.711,50.752768,6.0724068,0.938
2023-09-12T23:23:17.715,50.7527729,6.072405,0.774
2023-09-12T23:23:18.717,50.7527933,6.0724199,0.929
2023-09-12T23:23:19.722,50.7527873,6.0724237,0.607
2023-09-12T23:23:20.726,50.7527775,6.0724237,1.039
2023-09-12T23:23:21.730,50.7527681,6.0724245,1.025
2023-09-12T23:23:22.732,50.7527674,6.0724301,0.695
2023-09-12T23:23:23.735,50.752782,6.0724384,1.051
2023-09-12T23:23:24.739,50.7527934,6.0724504,0.983
2023-09-12T23:23:25.741,50.7527884,6.0724519,0.74
2023-09-12T23:23:26.743,50.7527832,6.0724507,0.946
2023-09-12T23:23:27.744,50.7527805,6.0724556,0.81
2023-09-12T23:23:28.747,50.7527785,6.0724629,0.926
2023-09-12T23:23:29.750,50.7527683,6.0724625,0.794
2023-09-12T23:23:30.755,50.7527643,6.072466,0.712
2023-09-12T23:23:31.759,50.7527614,6.0724598,0.966
2023-09-12T23:23:32.762,50.7527523,6.0724548,0.794
2023-09-12T23:23:33.765,50.7527816,6.0724689,0.678
2023-09-12T23:23:34.767,50.7528365,6.0724944,0.731
2023-09-12T23:23:35.768,50.752894,6.0725279,0.743
2023-09-12T23:23:36.771,50.7528866,6.0725207,0.952
2023-09-12T23:23:37.774,50.7528829,6.0725159,1.003
2023-09-12T23:23:38.777,50.7528811,6.0725059,1.017
2023-09-12T23:23:39.780,50.7528807,6.0725046,0.986
2023-09-12T23:23:40.782,50.7528779,6.0725008,0.661
2023-09-12T23:23:41.785,50.752872,6.0725019,0.522
2023-09-12T23:23:42.790,50.7528695,6.0724989,0.943
2023-09-12T23:23:43.791,50.7528638,6.0724972,0.508
2023-09-12T23:23:44.793,50.7528508,6.072495,0.627
2023-09-12T23:23:45.795,50.752847,6.0724926,0.83
2023-09-12T23:23:46.796,50.752845,6.072492,0.618
2023-09-12T23:23:47.799,50.7528412,6.0724947,0.83
2023-09-12T23:23:48.801,50.7528298,6.0724858,0.717
2023-09-12T23:23:49.804,50.7528208,6.0724789,0.991
2023-09-12T23:23:50.805,50.752819,6.0724762,0.587
2023-09-12T23:23:51.808,50.7528169,6.0724694,0.887
2023-09-12T23:23:52.810,50.7528132,6.0724652,0.782
2023-09-12T23:23:53.813,50.752811,6.0724659,0.644
2023-09-12T23:23:54.815,50.7528087,6.0724639,0.672
2023-09-12T23:23:55.817,50.7528061,6.0724675,0.748
2023-09-12T23:23:56.818,50.7528064,6.0724671,0.737
2023-09-12T23:23:57.821,50.752805,6.0724741,0.949
2023-09-12T23:23:58.822,50.7528025,6.0724711,0.946
2023-09-12T23:23:59.824,50.7527954,6.072473,0.842
2023-09-12T23:24:00.827,50.7527908,6.0724608,0.949
2023-09-12T23:24:01.829,50.7527862,6.0724524,0.743
2023-09-12T23:24:02.831,50.7527828,6.0724449,0.955
2023-09-12T23:24:03.832,50.7527781,6.0724385,0.85
2023-09-12T23:24:04.834,50.7527759,6.0724436,0.669
2023-09-12T23:24:05.835,50.7527709,6.0724339,0.991
2023-09-12T23:24:06.837,50.7527654,6.0724289,0.966
2023-09-12T23:24:07.839,50.7527615,6.0724308,0.81
2023-09-12T23:24:08.841,50.7527574,6.0724348,0.695
2023-09-12T23:24:09.843,50.7527559,6.0724333,1.042
2023-09-12T23:24:10.845,50.7527557,6.0724382,0.946
2023-09-12T23:24:11.848,50.7527525,6.0724366,1.073
2023-09-12T23:24:12.849,50.752749,6.0724371,0.884
2023-09-12T23:24:13.851,50.7527466,6.0724365,1.034
2023-09-12T23:24:14.853,50.7527448,6.0724417,0.81
2023-09-12T23:24:15.855,50.7527443,6.0724382,0.895
2023-09-12T23:24:16.857,50.7527434,6.0724414,0.991
2023-09-12T23:24:17.859,50.7527441,6.0724467,0.921
2023-09-12T23:24:18.860,50.7527452,6.0724634,0.844
2023-09-12T23:24:19.862,50.7527443,6.0724746,0.935
2023-09-12T23:24:20.864,50.7527435,6.0724761,0.87
2023-09-12T23:24:21.865,50.7527421,6.0724784,0.966
2023-09-12T23:24:22.867,50.7527416,6.0724836,0.912
2023-09-12T23:24:23.869,50.7527409,6.0724852,0.785
2023-09-12T23:24:24.872,50.7527395,6.0724857,0.808
2023-09-12T23:24:25.874,50.7527333,6.0724861,0.89
2023-09-12T23:24:26.876,50.752728,6.07249,0.833
2023-09-12T23:24:27.878,50.7527259,6.0724936,0.994
2023-09-12T23:24:28.879,50.7527209,6.0724961,1.005
2023-09-12T23:24:29.881,50.7527194,6.0725045,1.167
2023-09-12T23:24:30.883,50.7527184,6.0725138,1.065
2023-09-12T23:24:31.886,50.7527163,6.0725197,0.898
2023-09-12T23:24:32.888,50.752715,6.0725237,0.83
2023-09-12T23:24:33.890,50.7527135,6.0725308,1.319
2023-09-12T23:24:34.892,50.7527102,6.0725265,1.062
2023-09-12T23:24:35.893,50.7527062,6.0725206,0.864
2023-09-12T23:24:36.896,50.7527081,6.0725228,1.104
2023-09-12T23:24:37.898,50.7527076,6.0725239,1.181
2023-09-12T23:24:38.900,50.7527076,6.0725189,1.014
2023-09-12T23:24:39.903,50.7527042,6.0725174,0.805
2023-09-12T23:24:40.905,50.7527,6.0725103,1.005
2023-09-12T23:24:41.907,50.7527001,6.0725029,1.336
2023-09-12T23:24:42.910,50.7527017,6.0724991,1.102
2023-09-12T23:24:43.912,50.7527014,6.0724918,1.0
2023-09-12T23:24:44.915,50.7527004,6.0724842,1.282
2023-09-12T23:24:45.918,50.7526981,6.0724797,1.093
2023-09-12T23:24:46.920,50.7526964,6.0724727,1.212
2023-09-12T23:24:47.922,50.7526964,6.0724657,1.243
2023-09-12T23:24:48.925,50.7526925,6.0724607,0.932
2023-09-12T23:24:49.927,50.7526931,6.0724486,1.022
2023-09-12T23:24:50.930,50.7526979,6.072434,0.966
2023-09-12T23:24:51.933,50.7526986,6.0724262,1.099
2023-09-12T23:24:52.935,50.7526908,6.0724227,0.881
2023-09-12T23:24:53.940,50.752684,6.0724207,1.175
2023-09-12T23:24:54.942,50.7526776,6.0724186,0.96
2023-09-12T23:24:55.943,50.7526635,6.0724291,1.102
2023-09-12T23:24:56.945,50.7526625,6.0724346,0.977
2023-09-12T23:24:57.946,50.752666,6.0724261,1.093
2023-09-12T23:24:58.947,50.7526715,6.0724149,1.022
2023-09-12T23:24:59.949,50.7526711,6.0724166,1.22
2023-09-12T23:25:00.950,50.7526684,6.0724153,1.042
2023-09-12T23:25:01.952,50.7526764,6.0724035,0.892
2023-09-12T23:25:02.955,50.7526795,6.0723924,1.003
2023-09-12T23:25:03.958,50.7526867,6.0723886,0.974
2023-09-12T23:25:04.959,50.7526747,6.0723864,1.167
2023-09-12T23:25:05.961,50.7526804,6.0723814,1.059
2023-09-12T23:25:06.964,50.7526757,6.0723804,1.186
2023-09-12T23:25:07.965,50.7526767,6.0723786,1.062
2023-09-12T23:25:08.966,50.7526676,6.0723868,1.022
2023-09-12T23:25:09.968,50.7526703,6.0723843,1.017
2023-09-12T23:25:10.972,50.7526733,6.0723797,1.248
2023-09-12T23:25:11.974,50.7526857,6.0723653,0.777
2023-09-12T23:25:12.976,50.7526914,6.0723638,1.087
